layer,neuron,query,drop_mean,drop_zero,label
18,25,how many countries does cadbury sell its products,1,1,business
18,885,how many countries does cadbury sell its products,0,1,business
18,45,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,105,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,121,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,168,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,188,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,383,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
18,438,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,542,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,559,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,565,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,595,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,686,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
18,727,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,764,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,771,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,801,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
18,812,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,823,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,829,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,971,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
18,984,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,1007,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
18,1010,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
18,339,who won an oscar for schindler's list,1,0,entertainment
18,455,who won an oscar for schindler's list,0,1,entertainment
18,797,who won an oscar for schindler's list,1,1,entertainment
18,460,the bay and the islands of colonia del sacramento,1,1,environment
18,823,what factors helped the european economy to expand in the high middle ages,0,1,science
18,905,what factors helped the european economy to expand in the high middle ages,1,1,science
18,19,uncle kracker it's good to be me,0,1,entertainment
18,26,uncle kracker it's good to be me,0,1,entertainment
18,33,uncle kracker it's good to be me,1,1,entertainment
18,45,uncle kracker it's good to be me,1,1,entertainment
18,49,uncle kracker it's good to be me,1,1,entertainment
18,53,uncle kracker it's good to be me,0,1,entertainment
18,74,uncle kracker it's good to be me,1,1,entertainment
18,78,uncle kracker it's good to be me,1,1,entertainment
18,90,uncle kracker it's good to be me,0,1,entertainment
18,110,uncle kracker it's good to be me,1,1,entertainment
18,115,uncle kracker it's good to be me,1,1,entertainment
18,124,uncle kracker it's good to be me,1,1,entertainment
18,125,uncle kracker it's good to be me,1,1,entertainment
18,130,uncle kracker it's good to be me,0,1,entertainment
18,162,uncle kracker it's good to be me,0,1,entertainment
18,164,uncle kracker it's good to be me,0,1,entertainment
18,180,uncle kracker it's good to be me,1,0,entertainment
18,184,uncle kracker it's good to be me,1,0,entertainment
18,200,uncle kracker it's good to be me,1,1,entertainment
18,208,uncle kracker it's good to be me,1,1,entertainment
18,211,uncle kracker it's good to be me,1,0,entertainment
18,219,uncle kracker it's good to be me,1,0,entertainment
18,223,uncle kracker it's good to be me,1,1,entertainment
18,237,uncle kracker it's good to be me,1,0,entertainment
18,238,uncle kracker it's good to be me,1,1,entertainment
18,246,uncle kracker it's good to be me,1,1,entertainment
18,248,uncle kracker it's good to be me,1,0,entertainment
18,258,uncle kracker it's good to be me,0,1,entertainment
18,266,uncle kracker it's good to be me,1,1,entertainment
18,290,uncle kracker it's good to be me,0,1,entertainment
18,318,uncle kracker it's good to be me,0,1,entertainment
18,319,uncle kracker it's good to be me,1,0,entertainment
18,335,uncle kracker it's good to be me,1,1,entertainment
18,339,uncle kracker it's good to be me,1,1,entertainment
18,345,uncle kracker it's good to be me,1,1,entertainment
18,375,uncle kracker it's good to be me,0,1,entertainment
18,382,uncle kracker it's good to be me,0,1,entertainment
18,390,uncle kracker it's good to be me,0,1,entertainment
18,395,uncle kracker it's good to be me,1,1,entertainment
18,398,uncle kracker it's good to be me,1,1,entertainment
18,400,uncle kracker it's good to be me,1,1,entertainment
18,401,uncle kracker it's good to be me,1,1,entertainment
18,422,uncle kracker it's good to be me,1,0,entertainment
18,431,uncle kracker it's good to be me,1,0,entertainment
18,438,uncle kracker it's good to be me,0,1,entertainment
18,440,uncle kracker it's good to be me,1,1,entertainment
18,462,uncle kracker it's good to be me,1,1,entertainment
18,466,uncle kracker it's good to be me,0,1,entertainment
18,484,uncle kracker it's good to be me,1,0,entertainment
18,489,uncle kracker it's good to be me,1,0,entertainment
18,514,uncle kracker it's good to be me,1,0,entertainment
18,528,uncle kracker it's good to be me,1,1,entertainment
18,536,uncle kracker it's good to be me,0,1,entertainment
18,593,uncle kracker it's good to be me,1,1,entertainment
18,618,uncle kracker it's good to be me,1,1,entertainment
18,630,uncle kracker it's good to be me,1,1,entertainment
18,631,uncle kracker it's good to be me,1,1,entertainment
18,649,uncle kracker it's good to be me,0,1,entertainment
18,671,uncle kracker it's good to be me,0,1,entertainment
18,686,uncle kracker it's good to be me,1,0,entertainment
18,692,uncle kracker it's good to be me,0,1,entertainment
18,705,uncle kracker it's good to be me,1,1,entertainment
18,725,uncle kracker it's good to be me,1,0,entertainment
18,727,uncle kracker it's good to be me,1,1,entertainment
18,738,uncle kracker it's good to be me,0,1,entertainment
18,740,uncle kracker it's good to be me,1,1,entertainment
18,744,uncle kracker it's good to be me,1,0,entertainment
18,762,uncle kracker it's good to be me,1,1,entertainment
18,763,uncle kracker it's good to be me,1,1,entertainment
18,776,uncle kracker it's good to be me,1,0,entertainment
18,781,uncle kracker it's good to be me,0,1,entertainment
18,818,uncle kracker it's good to be me,0,1,entertainment
18,861,uncle kracker it's good to be me,1,1,entertainment
18,863,uncle kracker it's good to be me,1,1,entertainment
18,865,uncle kracker it's good to be me,1,1,entertainment
18,882,uncle kracker it's good to be me,1,1,entertainment
18,897,uncle kracker it's good to be me,0,1,entertainment
18,909,uncle kracker it's good to be me,0,1,entertainment
18,912,uncle kracker it's good to be me,1,1,entertainment
18,956,uncle kracker it's good to be me,1,1,entertainment
18,958,uncle kracker it's good to be me,1,1,entertainment
18,973,uncle kracker it's good to be me,1,0,entertainment
18,983,uncle kracker it's good to be me,1,1,entertainment
18,984,uncle kracker it's good to be me,1,0,entertainment
18,988,uncle kracker it's good to be me,1,1,entertainment
18,1005,uncle kracker it's good to be me,1,0,entertainment
18,1020,uncle kracker it's good to be me,1,1,entertainment
18,47,who plays candace on the haves and have nots,1,1,entertainment
18,238,who plays candace on the haves and have nots,0,1,entertainment
18,312,who plays candace on the haves and have nots,1,0,entertainment
18,565,who plays candace on the haves and have nots,1,0,entertainment
18,858,who plays candace on the haves and have nots,1,0,entertainment
18,892,who plays candace on the haves and have nots,1,1,entertainment
18,904,who plays candace on the haves and have nots,1,1,entertainment
18,944,who plays candace on the haves and have nots,1,0,entertainment
18,1023,who plays candace on the haves and have nots,1,1,entertainment
18,243,where does cleavage of the peptide bond by chymotrypsin occur,1,1,science
18,395,where does cleavage of the peptide bond by chymotrypsin occur,0,1,science
18,761,where does cleavage of the peptide bond by chymotrypsin occur,1,1,science
18,775,where does cleavage of the peptide bond by chymotrypsin occur,1,1,science
18,880,where does cleavage of the peptide bond by chymotrypsin occur,1,1,science
18,143,how many seasons of goliath are there on amazon,0,1,entertainment
18,446,how many seasons of goliath are there on amazon,1,1,entertainment
18,529,how many seasons of goliath are there on amazon,0,1,entertainment
18,200,what factors contributed to allied success in africa and italy during the second world war,1,1,science
18,708,what factors contributed to allied success in africa and italy during the second world war,0,1,science
18,712,what factors contributed to allied success in africa and italy during the second world war,1,1,science
18,30,converting stereo signal to mono signal is called,0,1,science
18,62,converting stereo signal to mono signal is called,0,1,science
18,309,converting stereo signal to mono signal is called,0,1,science
18,446,converting stereo signal to mono signal is called,1,1,science
18,879,converting stereo signal to mono signal is called,1,1,science
18,883,converting stereo signal to mono signal is called,1,1,science
18,165,coldplay song i will try to fix you,1,1,entertainment
18,663,coldplay song i will try to fix you,0,1,entertainment
18,797,coldplay song i will try to fix you,1,1,entertainment
18,864,coldplay song i will try to fix you,0,1,entertainment
18,928,coldplay song i will try to fix you,0,1,entertainment
18,7,the first political society started under british rule in india was,0,1,society
18,21,the first political society started under british rule in india was,0,1,society
18,27,the first political society started under british rule in india was,1,1,society
18,44,the first political society started under british rule in india was,1,1,society
18,72,the first political society started under british rule in india was,1,1,society
18,116,the first political society started under british rule in india was,1,1,society
18,143,the first political society started under british rule in india was,1,1,society
18,148,the first political society started under british rule in india was,0,1,society
18,218,the first political society started under british rule in india was,0,1,society
18,279,the first political society started under british rule in india was,1,0,society
18,339,the first political society started under british rule in india was,1,1,society
18,373,the first political society started under british rule in india was,1,1,society
18,455,the first political society started under british rule in india was,0,1,society
18,475,the first political society started under british rule in india was,0,1,society
18,552,the first political society started under british rule in india was,0,1,society
18,565,the first political society started under british rule in india was,1,1,society
18,604,the first political society started under british rule in india was,1,1,society
18,661,the first political society started under british rule in india was,1,1,society
18,680,the first political society started under british rule in india was,0,1,society
18,698,the first political society started under british rule in india was,1,0,society
18,708,the first political society started under british rule in india was,1,1,society
18,750,the first political society started under british rule in india was,1,0,society
18,783,the first political society started under british rule in india was,1,1,society
18,787,the first political society started under british rule in india was,1,0,society
18,797,the first political society started under british rule in india was,1,1,society
18,799,the first political society started under british rule in india was,1,1,society
18,833,the first political society started under british rule in india was,0,1,society
18,847,the first political society started under british rule in india was,1,1,society
18,889,the first political society started under british rule in india was,1,1,society
18,929,the first political society started under british rule in india was,1,1,society
18,998,the first political society started under british rule in india was,1,1,society
18,1007,the first political society started under british rule in india was,1,0,society
18,6,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,11,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,27,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,41,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,42,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,105,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,118,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,119,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,136,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,165,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,173,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,177,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,185,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,223,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,256,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,269,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,270,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,291,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,292,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,307,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,309,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,320,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,324,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,325,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,365,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,377,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,420,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,446,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,469,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,498,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,523,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,537,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,546,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,565,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,576,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,582,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,587,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,588,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,609,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,622,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,646,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,657,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,671,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,692,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,697,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,705,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,707,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,710,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,739,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,742,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,758,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,761,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,771,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,791,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,792,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,795,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,798,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,801,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,807,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,809,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,814,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,818,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,844,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,846,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,862,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,866,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,889,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,894,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,898,according to toumani diabate players use eight fingers to play the kora four from each hand,0,1,sports
18,933,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,943,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,974,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,975,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,976,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,988,according to toumani diabate players use eight fingers to play the kora four from each hand,1,1,sports
18,990,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,1002,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,1015,according to toumani diabate players use eight fingers to play the kora four from each hand,1,0,sports
18,56,who does claire from mcleods daughters end up with,1,0,entertainment
18,59,who does claire from mcleods daughters end up with,1,0,entertainment
18,82,who does claire from mcleods daughters end up with,1,0,entertainment
18,90,who does claire from mcleods daughters end up with,0,1,entertainment
18,104,who does claire from mcleods daughters end up with,0,1,entertainment
18,112,who does claire from mcleods daughters end up with,0,1,entertainment
18,161,who does claire from mcleods daughters end up with,1,1,entertainment
18,222,who does claire from mcleods daughters end up with,1,1,entertainment
18,256,who does claire from mcleods daughters end up with,1,1,entertainment
18,284,who does claire from mcleods daughters end up with,1,1,entertainment
18,291,who does claire from mcleods daughters end up with,1,1,entertainment
18,308,who does claire from mcleods daughters end up with,0,1,entertainment
18,356,who does claire from mcleods daughters end up with,1,1,entertainment
18,373,who does claire from mcleods daughters end up with,1,0,entertainment
18,397,who does claire from mcleods daughters end up with,1,1,entertainment
18,423,who does claire from mcleods daughters end up with,0,1,entertainment
18,562,who does claire from mcleods daughters end up with,0,1,entertainment
18,568,who does claire from mcleods daughters end up with,1,1,entertainment
18,614,who does claire from mcleods daughters end up with,0,1,entertainment
18,643,who does claire from mcleods daughters end up with,1,1,entertainment
18,660,who does claire from mcleods daughters end up with,1,1,entertainment
18,667,who does claire from mcleods daughters end up with,0,1,entertainment
18,720,who does claire from mcleods daughters end up with,0,1,entertainment
18,740,who does claire from mcleods daughters end up with,1,1,entertainment
18,757,who does claire from mcleods daughters end up with,0,1,entertainment
18,792,who does claire from mcleods daughters end up with,0,1,entertainment
18,815,who does claire from mcleods daughters end up with,0,1,entertainment
18,817,who does claire from mcleods daughters end up with,1,1,entertainment
18,821,who does claire from mcleods daughters end up with,1,1,entertainment
18,860,who does claire from mcleods daughters end up with,1,0,entertainment
18,889,who does claire from mcleods daughters end up with,0,1,entertainment
18,892,who does claire from mcleods daughters end up with,1,1,entertainment
18,972,who does claire from mcleods daughters end up with,1,1,entertainment
18,1007,who does claire from mcleods daughters end up with,0,1,entertainment
19,22,how many countries does cadbury sell its products,1,1,business
19,90,how many countries does cadbury sell its products,0,1,business
19,166,how many countries does cadbury sell its products,1,1,business
19,658,how many countries does cadbury sell its products,0,1,business
19,757,how many countries does cadbury sell its products,1,0,business
19,861,how many countries does cadbury sell its products,1,0,business
19,899,how many countries does cadbury sell its products,1,1,business
19,1018,how many countries does cadbury sell its products,0,1,business
19,62,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,75,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
19,105,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
19,168,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,179,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
19,188,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
19,220,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
19,260,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,422,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,457,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,486,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
19,491,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
19,505,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
19,553,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,565,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,578,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
19,595,new movie of ajay devgan and sonakshi sinha,0,1,entertainment
19,600,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
19,662,new movie of ajay devgan and sonakshi sinha,1,0,entertainment
19,764,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,771,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,894,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,899,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,907,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,914,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,969,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,1011,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,1023,new movie of ajay devgan and sonakshi sinha,1,1,entertainment
19,217,who won an oscar for schindler's list,1,1,entertainment
19,339,who won an oscar for schindler's list,1,0,entertainment
19,640,who won an oscar for schindler's list,1,0,entertainment
19,83,what factors helped the european economy to expand in the high middle ages,0,1,science
19,432,what factors helped the european economy to expand in the high middle ages,1,1,science
19,658,what factors helped the european economy to expand in the high middle ages,0,1,science
19,686,what factors helped the european economy to expand in the high middle ages,1,1,science
19,876,what factors helped the european economy to expand in the high middle ages,1,1,science
19,905,what factors helped the european economy to expand in the high middle ages,1,1,science
19,1,uncle kracker it's good to be me,1,1,entertainment
19,2,uncle kracker it's good to be me,1,1,entertainment
19,5,uncle kracker it's good to be me,0,1,entertainment
19,20,uncle kracker it's good to be me,0,1,entertainment
19,21,uncle kracker it's good to be me,1,1,entertainment
19,34,uncle kracker it's good to be me,0,1,entertainment
19,45,uncle kracker it's good to be me,1,1,entertainment
19,49,uncle kracker it's good to be me,1,1,entertainment
19,74,uncle kracker it's good to be me,1,1,entertainment
19,80,uncle kracker it's good to be me,1,1,entertainment
19,83,uncle kracker it's good to be me,1,0,entertainment
19,88,uncle kracker it's good to be me,1,1,entertainment
19,98,uncle kracker it's good to be me,1,1,entertainment
19,110,uncle kracker it's good to be me,1,0,entertainment
19,122,uncle kracker it's good to be me,1,0,entertainment
19,124,uncle kracker it's good to be me,1,1,entertainment
19,131,uncle kracker it's good to be me,1,1,entertainment
19,132,uncle kracker it's good to be me,1,1,entertainment
19,141,uncle kracker it's good to be me,1,1,entertainment
19,230,uncle kracker it's good to be me,1,1,entertainment
19,231,uncle kracker it's good to be me,1,1,entertainment
19,238,uncle kracker it's good to be me,0,1,entertainment
19,241,uncle kracker it's good to be me,1,1,entertainment
19,242,uncle kracker it's good to be me,0,1,entertainment
19,243,uncle kracker it's good to be me,1,1,entertainment
19,246,uncle kracker it's good to be me,1,1,entertainment
19,248,uncle kracker it's good to be me,0,1,entertainment
19,273,uncle kracker it's good to be me,0,1,entertainment
19,276,uncle kracker it's good to be me,1,1,entertainment
19,311,uncle kracker it's good to be me,1,1,entertainment
19,314,uncle kracker it's good to be me,0,1,entertainment
19,318,uncle kracker it's good to be me,0,1,entertainment
19,331,uncle kracker it's good to be me,1,1,entertainment
19,333,uncle kracker it's good to be me,1,1,entertainment
19,341,uncle kracker it's good to be me,1,1,entertainment
19,348,uncle kracker it's good to be me,1,1,entertainment
19,363,uncle kracker it's good to be me,1,1,entertainment
19,365,uncle kracker it's good to be me,1,0,entertainment
19,375,uncle kracker it's good to be me,1,1,entertainment
19,382,uncle kracker it's good to be me,1,1,entertainment
19,385,uncle kracker it's good to be me,1,1,entertainment
19,401,uncle kracker it's good to be me,1,1,entertainment
19,415,uncle kracker it's good to be me,1,0,entertainment
19,431,uncle kracker it's good to be me,1,1,entertainment
19,438,uncle kracker it's good to be me,1,1,entertainment
19,445,uncle kracker it's good to be me,0,1,entertainment
19,465,uncle kracker it's good to be me,1,1,entertainment
19,466,uncle kracker it's good to be me,1,1,entertainment
19,479,uncle kracker it's good to be me,1,1,entertainment
19,485,uncle kracker it's good to be me,0,1,entertainment
19,486,uncle kracker it's good to be me,1,0,entertainment
