layer,neuron,query,drop_mean,drop_zero,label
18,53,where does the donkey talk in the bible,0,1,religion
18,205,where does the donkey talk in the bible,1,1,religion
18,269,where does the donkey talk in the bible,1,1,religion
18,423,where does the donkey talk in the bible,0,1,religion
18,426,where does the donkey talk in the bible,1,1,religion
18,439,where does the donkey talk in the bible,1,0,religion
18,515,where does the donkey talk in the bible,1,1,religion
18,534,where does the donkey talk in the bible,1,0,religion
18,544,where does the donkey talk in the bible,1,0,religion
18,705,where does the donkey talk in the bible,1,1,religion
18,710,where does the donkey talk in the bible,0,1,religion
18,723,where does the donkey talk in the bible,0,1,religion
18,729,where does the donkey talk in the bible,1,0,religion
18,746,where does the donkey talk in the bible,1,1,religion
18,809,where does the donkey talk in the bible,1,0,religion
18,815,where does the donkey talk in the bible,1,0,religion
18,25,how many countries does cadbury sell its products,1,1,business_companies
18,885,how many countries does cadbury sell its products,0,1,business_companies
18,50,which two choices describe the purpose of the hsi filter,1,0,technology
18,365,which two choices describe the purpose of the hsi filter,1,0,technology
18,740,which two choices describe the purpose of the hsi filter,1,1,technology
18,45,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,105,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,121,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,168,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,188,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,383,new movie of ajay devgan and sonakshi sinha,1,0,film_tv
18,438,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,542,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,559,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,565,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,595,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,686,new movie of ajay devgan and sonakshi sinha,1,0,film_tv
18,727,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,764,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,771,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,801,new movie of ajay devgan and sonakshi sinha,1,0,film_tv
18,812,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,823,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,829,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,971,new movie of ajay devgan and sonakshi sinha,0,1,film_tv
18,984,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,1007,new movie of ajay devgan and sonakshi sinha,1,0,film_tv
18,1010,new movie of ajay devgan and sonakshi sinha,1,1,film_tv
18,339,who won an oscar for schindler's list,1,0,film_tv
18,455,who won an oscar for schindler's list,0,1,film_tv
18,797,who won an oscar for schindler's list,1,1,film_tv
18,460,the bay and the islands of colonia del sacramento,1,1,environment
18,461,who wrote the first historical novel in bengali,0,1,literature
18,546,who wrote the first historical novel in bengali,0,1,literature
18,600,who wrote the first historical novel in bengali,0,1,literature
18,659,who wrote the first historical novel in bengali,1,1,literature
18,754,who wrote the first historical novel in bengali,1,0,literature
18,974,who wrote the first historical novel in bengali,1,0,literature
18,0,where does kfc get their chicken in south africa,1,1,animals
18,4,where does kfc get their chicken in south africa,0,1,animals
18,6,where does kfc get their chicken in south africa,1,1,animals
18,7,where does kfc get their chicken in south africa,1,0,animals
18,20,where does kfc get their chicken in south africa,1,1,animals
18,22,where does kfc get their chicken in south africa,1,1,animals
18,33,where does kfc get their chicken in south africa,1,0,animals
18,36,where does kfc get their chicken in south africa,1,1,animals
18,47,where does kfc get their chicken in south africa,0,1,animals
18,51,where does kfc get their chicken in south africa,1,1,animals
18,54,where does kfc get their chicken in south africa,1,1,animals
18,56,where does kfc get their chicken in south africa,1,1,animals
18,58,where does kfc get their chicken in south africa,1,1,animals
18,60,where does kfc get their chicken in south africa,1,1,animals
18,66,where does kfc get their chicken in south africa,1,1,animals
18,79,where does kfc get their chicken in south africa,1,0,animals
18,81,where does kfc get their chicken in south africa,1,1,animals
18,90,where does kfc get their chicken in south africa,1,0,animals
18,93,where does kfc get their chicken in south africa,1,1,animals
18,94,where does kfc get their chicken in south africa,1,1,animals
18,95,where does kfc get their chicken in south africa,1,1,animals
18,103,where does kfc get their chicken in south africa,0,1,animals
18,120,where does kfc get their chicken in south africa,1,1,animals
18,121,where does kfc get their chicken in south africa,1,1,animals
18,131,where does kfc get their chicken in south africa,1,1,animals
18,133,where does kfc get their chicken in south africa,1,1,animals
18,134,where does kfc get their chicken in south africa,1,1,animals
18,140,where does kfc get their chicken in south africa,1,1,animals
18,146,where does kfc get their chicken in south africa,1,1,animals
18,151,where does kfc get their chicken in south africa,1,1,animals
18,152,where does kfc get their chicken in south africa,1,1,animals
18,156,where does kfc get their chicken in south africa,1,1,animals
18,157,where does kfc get their chicken in south africa,0,1,animals
18,160,where does kfc get their chicken in south africa,1,1,animals
18,161,where does kfc get their chicken in south africa,1,1,animals
18,164,where does kfc get their chicken in south africa,1,0,animals
18,172,where does kfc get their chicken in south africa,1,1,animals
18,176,where does kfc get their chicken in south africa,0,1,animals
18,187,where does kfc get their chicken in south africa,1,1,animals
18,188,where does kfc get their chicken in south africa,0,1,animals
18,205,where does kfc get their chicken in south africa,1,1,animals
18,208,where does kfc get their chicken in south africa,1,1,animals
18,210,where does kfc get their chicken in south africa,1,1,animals
18,214,where does kfc get their chicken in south africa,1,1,animals
18,223,where does kfc get their chicken in south africa,0,1,animals
18,236,where does kfc get their chicken in south africa,0,1,animals
18,238,where does kfc get their chicken in south africa,1,1,animals
18,254,where does kfc get their chicken in south africa,1,1,animals
18,255,where does kfc get their chicken in south africa,0,1,animals
18,265,where does kfc get their chicken in south africa,1,1,animals
18,266,where does kfc get their chicken in south africa,1,1,animals
18,272,where does kfc get their chicken in south africa,1,1,animals
18,275,where does kfc get their chicken in south africa,1,1,animals
18,277,where does kfc get their chicken in south africa,0,1,animals
18,290,where does kfc get their chicken in south africa,1,0,animals
18,298,where does kfc get their chicken in south africa,1,1,animals
18,299,where does kfc get their chicken in south africa,0,1,animals
18,326,where does kfc get their chicken in south africa,1,1,animals
18,329,where does kfc get their chicken in south africa,1,1,animals
18,331,where does kfc get their chicken in south africa,1,1,animals
18,338,where does kfc get their chicken in south africa,1,1,animals
18,339,where does kfc get their chicken in south africa,0,1,animals
18,340,where does kfc get their chicken in south africa,1,1,animals
18,341,where does kfc get their chicken in south africa,0,1,animals
18,350,where does kfc get their chicken in south africa,0,1,animals
18,359,where does kfc get their chicken in south africa,0,1,animals
18,364,where does kfc get their chicken in south africa,1,1,animals
18,373,where does kfc get their chicken in south africa,1,1,animals
18,374,where does kfc get their chicken in south africa,1,1,animals
18,386,where does kfc get their chicken in south africa,1,1,animals
